label,Population,Sex,Treatment,Individual,Side,Centroid Size,Log Centroid Size
G9_F_C_48_R,G9,F,C,48,R,2.913013899,1.069188249
G9_F_C_49_L,G9,F,C,49,L,2.923048652,1.07262713
G9_F_C_49_R,G9,F,C,49,R,2.918059109,1.070918706
G9_F_C_50_L,G9,F,C,50,L,3.023524202,1.106423105
G9_F_C_50_R,G9,F,C,50,R,3.054926582,1.11675556
G9_F_D_01_L,G9,F,D,1,L,2.986733137,1.094180194
G9_F_D_01_R,G9,F,D,1,R,2.998582372,1.098139634
G9_F_D_02_L,G9,F,D,2,L,2.989649473,1.095156148
G9_F_D_02_R,G9,F,D,2,R,2.989316782,1.09504486
G9_F_D_03_L,G9,F,D,3,L,2.685013136,0.98768562
G9_F_D_03_R,G9,F,D,3,R,2.681313043,0.986306616
G9_F_D_04_L,G9,F,D,4,L,2.873495672,1.055529293
G9_F_D_04_R,G9,F,D,4,R,2.860415555,1.050966913
G9_F_D_05_R,G9,F,D,5,R,2.816232305,1.03539993
G9_F_D_06_R,G9,F,D,6,R,2.252305958,0.811954561
G9_F_D_07_R,G9,F,D,7,R,2.891333366,1.061717768
G9_F_D_08_R,G9,F,D,8,R,2.786235744,1.024691489
G9_F_D_09_R,G9,F,D,9,R,2.609794536,0.959271496
G9_F_D_10_R,G9,F,D,10,R,2.923538795,1.072794798
G9_F_D_11_R,G9,F,D,11,R,2.411785094,0.880367176
G9_F_D_12_L,G9,F,D,12,L,2.865224494,1.052646704
G9_F_D_13_L,G9,F,D,13,L,2.875432732,1.056203178
G9_F_D_14_L,G9,F,D,14,L,2.428816071,0.887403925
G9_F_D_15_L,G9,F,D,15,L,2.754153207,1.013110029
G9_F_D_16_L,G9,F,D,16,L,2.64494588,0.972650604
G9_F_D_17_L,G9,F,D,17,L,2.484073314,0.909899678
G9_F_D_18_L,G9,F,D,18,L,2.73787929,1.007183639
G9_F_D_19_L,G9,F,D,19,L,2.90151646,1.065233517
G9_F_D_20_U,G9,F,D,20,U,2.56224382,0.940883367
G9_F_D_21_U,G9,F,D,21,U,2.801005909,1.029978606
G9_F_D_22_U,G9,F,D,22,U,3.024303041,1.106680665
G9_F_D_23_U,G9,F,D,23,U,2.443988817,0.893631466
G9_F_D_24_U,G9,F,D,24,U,2.510702585,0.920562628
G9_F_D_25_U,G9,F,D,25,U,2.668786564,0.981623899
G9_F_D_26_U,G9,F,D,26,U,2.691020054,0.989920324
G9_F_D_27_U,G9,F,D,27,U,2.788350489,1.025450198
G9_F_D_28_U,G9,F,D,28,U,2.611096394,0.959770207
G9_F_D_29_U,G9,F,D,29,U,2.755195425,1.013488375
G9_F_D_30_U,G9,F,D,30,U,2.909347116,1.067928697
G9_F_D_31_U,G9,F,D,31,U,2.949936689,1.081783709
