label,Population,Sex,Treatment,Individual,Side,Centroid Size,Log Centroid Size
G9_M_D_29_U,G9,M,D,29,U,2.375385447,0.865159718
G9_M_D_31_U,G9,M,D,31,U,2.298766154,0.832372524
G9_M_D_32_U,G9,M,D,32,U,2.167702333,0.773667774
G9_M_D_33_U,G9,M,D,33,U,2.421917518,0.884559589
G9_M_D_34_U,G9,M,D,34,U,2.894682057,1.06287528
G9_M_D_35_U,G9,M,D,35,U,2.334297313,0.847710909
G9_M_D_36_U,G9,M,D,36,U,2.340275174,0.850268518
G9_M_D_37_U,G9,M,D,37,U,2.380890857,0.867474727
G9_M_D_38_U,G9,M,D,38,U,2.069021508,0.727075794
G9_M_D_39_U,G9,M,D,39,U,2.496764294,0.914995611
G9_M_D_40_U,G9,M,D,40,U,2.134792282,0.75836935
G9_M_D_41_U,G9,M,D,41,U,2.298768534,0.83237356
G9_M_D_42_U,G9,M,D,42,U,2.235094673,0.804283587
G9_M_D_43_U,G9,M,D,43,U,1.952902727,0.669316844
G9_M_D_45_U,G9,M,D,45,U,2.297171661,0.831678653
G9_M_D_46_U,G9,M,D,46,U,2.388436272,0.870638872
G9_M_D_47_U,G9,M,D,47,U,2.240242837,0.806584269
G9_M_D_48_U,G9,M,D,48,U,2.550494747,0.936287359
G9_M_D_49_U,G9,M,D,49,U,2.417761064,0.882841932
G9_M_S_01_L,G9,M,S,1,L,2.319979585,0.841558386
G9_M_S_01_R,G9,M,S,1,R,2.305124161,0.835134541
G9_M_S_02_L,G9,M,S,2,L,2.173446906,0.776314343
G9_M_S_02_R,G9,M,S,2,R,2.182789461,0.780603628
G9_M_S_03_L,G9,M,S,3,L,2.296526489,0.831397759
G9_M_S_03_R,G9,M,S,3,R,2.278009955,0.823302235
G9_M_S_04_L,G9,M,S,4,L,2.220564668,0.797761519
G9_M_S_04_R,G9,M,S,4,R,2.221733188,0.798287606
G9_M_S_05_L,G9,M,S,5,L,2.234770737,0.804138644
G9_M_S_05_R,G9,M,S,5,R,2.265761163,0.817910757
G9_M_S_06_L,G9,M,S,6,L,2.254835666,0.813077095
G9_M_S_06_R,G9,M,S,6,R,2.260075451,0.815398198
G9_M_S_07_L,G9,M,S,7,L,2.51524764,0.922371264
G9_M_S_07_R,G9,M,S,7,R,2.508642346,0.919741709
G9_M_S_08_L,G9,M,S,8,L,2.315311618,0.839544286
G9_M_S_08_R,G9,M,S,8,R,2.320210851,0.841658066
G9_M_S_09_L,G9,M,S,9,L,2.238835474,0.805955853
G9_M_S_09_R,G9,M,S,9,R,2.247640508,0.809881003
G9_M_S_10_L,G9,M,S,10,L,2.306299524,0.835644303
G9_M_S_10_R,G9,M,S,10,R,2.326728544,0.844463223
G9_M_S_11_L,G9,M,S,11,L,2.336597882,0.848695975
G9_M_S_11_R,G9,M,S,11,R,2.338987952,0.849718337
G9_M_S_12_L,G9,M,S,12,L,2.283703185,0.825798329
G9_M_S_12_R,G9,M,S,12,R,2.28408179,0.825964101
G9_M_S_13_L,G9,M,S,13,L,2.360849354,0.85902145
G9_M_S_13_R,G9,M,S,13,R,2.354357375,0.856267814
G9_M_S_14_L,G9,M,S,14,L,2.3443214,0.851995978
G9_M_S_14_R,G9,M,S,14,R,2.356269066,0.857079464
G9_M_S_15_L,G9,M,S,15,L,2.185590799,0.78188618
G9_M_S_15_R,G9,M,S,15,R,2.175912091,0.777447929
G9_M_S_16_L,G9,M,S,16,L,2.134716086,0.758333657
G9_M_S_16_R,G9,M,S,16,R,2.145597125,0.763417894
G9_M_S_17_L,G9,M,S,17,L,2.555607945,0.938290139
G9_M_S_17_R,G9,M,S,17,R,2.557009482,0.938838404
G9_M_S_18_L,G9,M,S,18,L,2.325111633,0.843768052
G9_M_S_18_R,G9,M,S,18,R,2.325164426,0.843790757
G9_M_S_19_L,G9,M,S,19,L,2.185085189,0.781654816
G9_M_S_19_R,G9,M,S,19,R,2.182576195,0.78050592
G9_M_S_20_L,G9,M,S,20,L,2.4271407,0.886713898
G9_M_S_20_R,G9,M,S,20,R,2.434627138,0.889793619
G9_M_S_21_L,G9,M,S,21,L,2.53340319,0.929563533
G9_M_S_21_R,G9,M,S,21,R,2.541525679,0.932764562
G9_M_S_22_L,G9,M,S,22,L,2.391451959,0.871900696
G9_M_S_22_R,G9,M,S,22,R,2.404984323,0.877543385
G9_M_S_23_L,G9,M,S,23,L,2.276910338,0.822819409
G9_M_S_23_R,G9,M,S,23,R,2.293597112,0.830121377
S4_F_C_01_L,S4,F,C,1,L,2.60329703,0.95677873
S4_F_C_01_R,S4,F,C,1,R,2.597198745,0.954433458
S4_F_C_02_L,S4,F,C,2,L,2.477441565,0.907226401
S4_F_C_02_R,S4,F,C,2,R,2.486810911,0.911001131
S4_F_C_03_L,S4,F,C,3,L,2.504846765,0.918227561
S4_F_C_03_R,S4,F,C,3,R,2.511593339,0.920917348
S4_F_C_04_L,S4,F,C,4,L,2.796084005,1.028219868
S4_F_C_04_R,S4,F,C,4,R,2.820684055,1.036979428
S4_F_C_05_L,S4,F,C,5,L,2.728566166,1.003776257
S4_F_C_05_R,S4,F,C,5,R,2.743614295,1.009276137
S4_F_C_06_L,S4,F,C,6,L,2.544884863,0.934085408
S4_F_C_06_R,S4,F,C,6,R,2.550961561,0.936470371
S4_F_C_07_L,S4,F,C,7,L,2.914536071,1.069710655
S4_F_C_07_R,S4,F,C,7,R,2.897390292,1.063810433
S4_F_C_08_L,S4,F,C,8,L,2.487377873,0.911229093
S4_F_C_08_R,S4,F,C,8,R,2.493002966,0.913487994
S4_F_C_09_L,S4,F,C,9,L,2.670945472,0.982432519
S4_F_C_09_R,S4,F,C,9,R,2.688160097,0.988856981
S4_F_C_10_L,S4,F,C,10,L,2.619020513,0.962800398
S4_F_C_10_R,S4,F,C,10,R,2.624845771,0.965022141
S4_F_C_11_L,S4,F,C,11,L,2.477901195,0.907411909
S4_F_C_11_R,S4,F,C,11,R,2.473347781,0.90557261
S4_F_C_12_L,S4,F,C,12,L,2.777130206,1.021418094
S4_F_C_12_R,S4,F,C,12,R,2.805543627,1.031597327
S4_F_C_13_L,S4,F,C,13,L,2.668992794,0.98170117
S4_F_C_13_R,S4,F,C,13,R,2.669716226,0.981972184
S4_F_C_14_L,S4,F,C,14,L,2.812263277,1.033989596
S4_F_C_14_R,S4,F,C,14,R,2.812149919,1.033949287
S4_F_C_15_L,S4,F,C,15,L,2.571695733,0.9445655
S4_F_C_15_R,S4,F,C,15,R,2.561589886,0.940628115
S4_F_C_16_L,S4,F,C,16,L,2.485328216,0.91040473
S4_F_C_16_R,S4,F,C,16,R,2.48765947,0.911342296
S4_F_C_17_L,S4,F,C,17,L,2.861230968,1.051251941
S4_F_C_17_R,S4,F,C,17,R,2.869007997,1.053966324
S4_F_C_18_L,S4,F,C,18,L,2.467132771,0.903056655
S4_F_C_18_R,S4,F,C,18,R,2.473789707,0.905751269
S4_F_C_19_L,S4,F,C,19,L,2.608044244,0.958600608
S4_F_C_19_R,S4,F,C,19,R,2.610214839,0.959432532
S4_F_C_20_L,S4,F,C,20,L,2.615683217,0.961525332
S4_F_C_20_R,S4,F,C,20,R,2.596676094,0.954232202
S4_F_C_21_L,S4,F,C,21,L,2.489345121,0.912019672
S4_F_C_21_R,S4,F,C,21,R,2.476585867,0.906880945
S4_F_C_22_L,S4,F,C,22,L,2.638762652,0.970310115
S4_F_C_22_R,S4,F,C,22,R,2.64954808,0.97438909
S4_F_C_23_L,S4,F,C,23,L,2.839541844,1.043642717
S4_F_C_23_R,S4,F,C,23,R,2.846654408,1.046144413
S4_F_C_24_L,S4,F,C,24,L,2.68451704,0.987500838
S4_F_C_24_R,S4,F,C,24,R,2.660792978,0.978624191
S4_F_C_25_L,S4,F,C,25,L,2.895473545,1.063148671
S4_F_C_25_R,S4,F,C,25,R,2.888055936,1.060583589
S4_F_C_26_L,S4,F,C,26,L,2.117685418,0.750323709
S4_F_C_26_R,S4,F,C,26,R,2.106302665,0.744934119
S4_F_C_27_L,S4,F,C,27,L,2.395886371,0.873753255
S4_F_C_27_R,S4,F,C,27,R,2.368345483,0.862191603
S4_F_C_28_L,S4,F,C,28,L,2.579497439,0.947594589
S4_F_C_28_R,S4,F,C,28,R,2.576557781,0.946454315
S4_F_C_29_L,S4,F,C,29,L,2.61853809,0.962616181
S4_F_C_29_R,S4,F,C,29,R,2.619404767,0.962947104
S4_F_C_30_L,S4,F,C,30,L,2.757461773,1.014310609
S4_F_C_30_R,S4,F,C,30,R,2.761237556,1.015678969
S4_F_C_31_L,S4,F,C,31,L,2.790403386,1.026186168
S4_F_C_31_R,S4,F,C,31,R,2.798918475,1.029233083
S4_F_C_32_L,S4,F,C,32,L,2.784538238,1.024082057
S4_F_C_32_R,S4,F,C,32,R,2.751050104,1.011982695
S4_F_C_33_L,S4,F,C,33,L,2.761597966,1.015809485
S4_F_C_33_R,S4,F,C,33,R,2.775685528,1.020897754
S4_F_C_34_L,S4,F,C,34,L,2.497481542,0.915282841
S4_F_C_34_R,S4,F,C,34,R,2.505888785,0.918643476
S4_F_C_35_L,S4,F,C,35,L,2.892792768,1.062222391
S4_F_C_35_R,S4,F,C,35,R,2.91466447,1.069754709
S4_F_C_36_L,S4,F,C,36,L,2.639438282,0.970566122
S4_F_C_36_R,S4,F,C,36,R,2.663835963,0.979767175
S4_F_C_37_L,S4,F,C,37,L,2.573184005,0.945144045
S4_F_C_37_R,S4,F,C,37,R,2.572085135,0.944716907
S4_F_C_38_L,S4,F,C,38,L,2.555262651,0.938155017
S4_F_C_38_R,S4,F,C,38,R,2.562040637,0.940804065
S4_F_C_39_L,S4,F,C,39,L,2.104668984,0.744158202
S4_F_C_39_R,S4,F,C,39,R,2.107732687,0.745612814
S4_F_C_40_L,S4,F,C,40,L,2.746637565,1.01037746
S4_F_C_40_R,S4,F,C,40,R,2.754655833,1.01329251
S4_F_C_41_L,S4,F,C,41,L,2.568213392,0.943210479
S4_F_C_41_R,S4,F,C,41,R,2.57329711,0.945187999
S4_F_C_42_L,S4,F,C,42,L,2.155533265,0.768038148
S4_F_C_42_R,S4,F,C,42,R,2.154919742,0.76775348
S4_F_C_43_L,S4,F,C,43,L,2.913218557,1.069258503
S4_F_C_43_R,S4,F,C,43,R,2.909566314,1.068004037
S4_F_C_44_L,S4,F,C,44,L,2.469996201,0.904216613
S4_F_C_44_R,S4,F,C,44,R,2.493541716,0.913704076
S4_F_C_45_L,S4,F,C,45,L,2.416727761,0.88241446
S4_F_C_45_R,S4,F,C,45,R,2.417255523,0.882632815
S4_F_C_46_L,S4,F,C,46,L,2.811587832,1.033749389
S4_F_C_46_R,S4,F,C,46,R,2.790781193,1.026321554
S4_F_C_47_L,S4,F,C,47,L,2.557633002,0.939082222
S4_F_C_47_R,S4,F,C,47,R,2.566270229,0.942453572
S4_F_C_48_L,S4,F,C,48,L,2.500778381,0.916602036
S4_F_C_48_R,S4,F,C,48,R,2.502913984,0.917455647
S4_F_C_49_L,S4,F,C,49,L,2.796132378,1.028237169
S4_F_C_49_R,S4,F,C,49,R,2.781164063,1.022869568
S4_F_C_50_L,S4,F,C,50,L,2.589378081,0.951417724
S4_F_C_50_R,S4,F,C,50,R,2.591962186,0.95241519
S4_F_D_02_U,S4,F,D,2,U,2.390872418,0.871658328
S4_F_D_03_U,S4,F,D,3,U,2.575849347,0.946179323
S4_F_D_04_U,S4,F,D,4,U,2.643198133,0.971989598
S4_F_D_05_U,S4,F,D,5,U,2.445505817,0.89425198
S4_F_D_06_U,S4,F,D,6,U,2.748458211,1.011040104
S4_F_D_08_U,S4,F,D,8,U,2.388461702,0.870649519
S4_F_D_09_U,S4,F,D,9,U,2.466077211,0.902628714
S4_F_D_10_U,S4,F,D,10,U,2.579115481,0.947446504
S4_F_D_12_U,S4,F,D,12,U,2.59563802,0.953832351
S4_F_D_13_U,S4,F,D,13,U,2.40942879,0.879389703
S4_F_D_14_U,S4,F,D,14,U,2.602026716,0.956290648
S4_F_D_15_U,S4,F,D,15,U,2.802498487,1.030511336
S4_F_D_16_U,S4,F,D,16,U,2.901278624,1.065151545
S4_F_D_17_U,S4,F,D,17,U,2.703601081,0.994584618
S4_F_D_18_U,S4,F,D,18,U,2.637457594,0.96981542
S4_F_D_19_U,S4,F,D,19,U,2.833880423,1.041646947
S4_F_D_20_U,S4,F,D,20,U,2.495185908,0.914363239
S4_F_D_21_U,S4,F,D,21,U,2.439414317,0.891757976
S4_F_D_22_U,S4,F,D,22,U,2.76922087,1.018566006
S4_F_D_23_U,S4,F,D,23,U,2.61987215,0.963125519
S4_F_D_24_L,S4,F,D,24,L,2.467491332,0.903201979
S4_F_D_24_R,S4,F,D,24,R,2.479094689,0.907893449
S4_F_D_25_L,S4,F,D,25,L,2.694660069,0.991272063
S4_F_D_25_R,S4,F,D,25,R,2.673851582,0.983519973
S4_F_D_26_L,S4,F,D,26,L,2.672052309,0.982846832
S4_F_D_26_R,S4,F,D,26,R,2.681793281,0.986485706
S4_F_D_27_L,S4,F,D,27,L,2.57391198,0.945426913
S4_F_D_27_R,S4,F,D,27,R,2.583736123,0.949236461
S4_F_D_28_L,S4,F,D,28,L,2.607901839,0.958546005
S4_F_D_28_R,S4,F,D,28,R,2.606099509,0.957854663
S4_F_D_29_R,S4,F,D,29,R,2.845387566,1.045699285
S4_F_D_30_R,S4,F,D,30,R,2.652286463,0.975422084
S4_F_D_31_R,S4,F,D,31,R,2.887666031,1.060448574
S4_F_D_32_L,S4,F,D,32,L,2.548273124,0.935415924
S4_F_D_33_R,S4,F,D,33,R,2.711220534,0.997398915
S4_F_D_34_U,S4,F,D,34,U,2.596664101,0.954227583
S4_F_D_35_U,S4,F,D,35,U,2.760687957,1.015479908
S4_F_D_36_L,S4,F,D,36,L,2.861669533,1.051405207
S4_F_D_37_L,S4,F,D,37,L,2.643751351,0.972198875
S4_F_D_38_R,S4,F,D,38,R,2.935764397,1.076967861
S4_F_D_39_R,S4,F,D,39,R,2.395416305,0.873557038
S4_F_D_40_R,S4,F,D,40,R,2.727995738,1.003567178
S4_F_D_41_L,S4,F,D,41,L,2.498637892,0.91574574
S4_F_D_42_L,S4,F,D,42,L,2.795379281,1.027967797
S4_F_D_43_L,S4,F,D,43,L,2.719998126,1.000631191
S4_F_D_44_U,S4,F,D,44,U,2.918474112,1.071060915
S4_F_D_45_U,S4,F,D,45,U,2.565516736,0.942159915
S4_F_S_01_L,S4,F,S,1,L,2.4390646,0.891614605
S4_F_S_01_R,S4,F,S,1,R,2.439874049,0.891946419
S4_F_S_02_L,S4,F,S,2,L,2.456640785,0.898794882
S4_F_S_02_R,S4,F,S,2,R,2.45136416,0.89664467
S4_F_S_03_L,S4,F,S,3,L,2.832188134,1.041049605
S4_F_S_03_R,S4,F,S,3,R,2.835979661,1.042387437
S4_F_S_04_L,S4,F,S,4,L,2.571234379,0.944386087
S4_F_S_04_R,S4,F,S,4,R,2.587345419,0.950632415
S4_F_S_05_L,S4,F,S,5,L,2.550711036,0.936372158
S4_F_S_05_R,S4,F,S,5,R,2.555886515,0.938399136
S4_F_S_06_L,S4,F,S,6,L,2.632740536,0.968025333
S4_F_S_06_R,S4,F,S,6,R,2.627130134,0.965892047
S4_F_S_07_R,S4,F,S,7,R,2.745284885,1.009884853
S4_F_S_08_L,S4,F,S,8,L,2.710725011,0.997216131
S4_F_S_08_R,S4,F,S,8,R,2.71856168,1.000102946
S4_F_S_09_L,S4,F,S,9,L,2.828248795,1.03965772
S4_F_S_09_R,S4,F,S,9,R,2.836046584,1.042411034
S4_F_S_10_L,S4,F,S,10,L,2.756360499,1.01391115
S4_F_S_10_R,S4,F,S,10,R,2.764098929,1.016714697
S4_F_S_11_L,S4,F,S,11,L,2.576214686,0.946321145
S4_F_S_11_R,S4,F,S,11,R,2.583867611,0.949287351
S4_F_S_12_L,S4,F,S,12,L,2.754879568,1.013373728
S4_F_S_12_R,S4,F,S,12,R,2.757373582,1.014278626
S4_F_S_13_L,S4,F,S,13,L,2.374978989,0.864988591
S4_F_S_13_R,S4,F,S,13,R,2.382593734,0.868189699
S4_F_S_14_L,S4,F,S,14,L,2.734052324,1.005784876
S4_F_S_14_R,S4,F,S,14,R,2.74485675,1.009728888
S4_F_S_15_L,S4,F,S,15,L,2.748760146,1.011149954
S4_F_S_15_R,S4,F,S,15,R,2.755509518,1.013602368
S4_F_S_16_L,S4,F,S,16,L,2.29873526,0.832359085
S4_F_S_16_R,S4,F,S,16,R,2.312955639,0.838526204
S4_F_S_17_L,S4,F,S,17,L,2.463799749,0.901704772
S4_F_S_17_R,S4,F,S,17,R,2.454007718,0.897722491
S4_F_S_18_L,S4,F,S,18,L,2.75824837,1.01459583
S4_F_S_18_R,S4,F,S,18,R,2.768039604,1.018139346
S4_F_S_19_L,S4,F,S,19,L,2.459530761,0.899970584
S4_F_S_19_R,S4,F,S,19,R,2.465181907,0.902265601
S4_F_S_20_L,S4,F,S,20,L,2.264812444,0.817491949
S4_F_S_20_R,S4,F,S,20,R,2.279573299,0.823988276
S4_F_S_21_L,S4,F,S,21,L,2.749050965,1.011255748
S4_F_S_21_R,S4,F,S,21,R,2.773432152,1.020085597
S4_F_S_22_L,S4,F,S,22,L,2.698095406,0.992546119
S4_F_S_22_R,S4,F,S,22,R,2.692116393,0.990327647
S4_F_S_23_L,S4,F,S,23,L,2.748600094,1.011091725
S4_F_S_23_R,S4,F,S,23,R,2.758262502,1.014600953
S4_F_S_24_L,S4,F,S,24,L,2.668858866,0.98165099
S4_F_S_24_R,S4,F,S,24,R,2.665969569,0.980567807
S4_F_S_25_L,S4,F,S,25,L,2.855498429,1.049246409
S4_F_S_25_R,S4,F,S,25,R,2.857554752,1.049966277
S4_F_S_26_L,S4,F,S,26,L,2.596652418,0.954223084
S4_F_S_26_R,S4,F,S,26,R,2.625806671,0.965388152
S4_F_S_27_L,S4,F,S,27,L,2.742232642,1.008772421
S4_F_S_27_R,S4,F,S,27,R,2.75122158,1.012045024
S4_F_S_28_L,S4,F,S,28,L,2.24945787,0.81068924
S4_F_S_28_R,S4,F,S,28,R,2.26106188,0.815834561
S4_F_S_29_L,S4,F,S,29,L,2.736676999,1.00674441
S4_F_S_29_R,S4,F,S,29,R,2.72650823,1.003021754
S4_F_S_30_L,S4,F,S,30,L,2.1353516,0.758631317
S4_F_S_30_R,S4,F,S,30,R,2.145540776,0.763391631
S4_F_S_31_L,S4,F,S,31,L,2.729424447,1.004090762
S4_F_S_31_R,S4,F,S,31,R,2.736533001,1.006691791
S4_F_S_32_L,S4,F,S,32,L,2.521127244,0.924706121
S4_F_S_32_R,S4,F,S,32,R,2.525877694,0.926588604
S4_F_S_33_L,S4,F,S,33,L,2.784649919,1.024122163
S4_F_S_33_R,S4,F,S,33,R,2.770098001,1.018882699
S4_F_S_34_L,S4,F,S,34,L,2.72835611,1.00369927
S4_F_S_34_R,S4,F,S,34,R,2.738884649,1.007550775
S4_F_S_35_L,S4,F,S,35,L,2.696245067,0.991860089
S4_F_S_35_R,S4,F,S,35,R,2.716877118,0.999483102
S4_F_S_36_L,S4,F,S,36,L,2.761809981,1.015886255
S4_F_S_36_R,S4,F,S,36,R,2.767056423,1.017784092
S4_F_S_37_L,S4,F,S,37,L,2.698903487,0.992845574
S4_F_S_37_R,S4,F,S,37,R,2.689304712,0.989282689
S4_F_S_38_L,S4,F,S,38,L,2.634756395,0.968790728
S4_F_S_38_R,S4,F,S,38,R,2.624187148,0.96477119
S4_F_S_39_L,S4,F,S,39,L,2.596272162,0.954076632
S4_F_S_39_R,S4,F,S,39,R,2.617995192,0.962408831
S4_F_S_40_L,S4,F,S,40,L,2.6534114,0.975846133
S4_F_S_40_R,S4,F,S,40,R,2.663632769,0.979690894
S4_F_S_41_L,S4,F,S,41,L,2.591651098,0.952295162
S4_F_S_41_R,S4,F,S,41,R,2.578604643,0.947248416
S4_F_S_42_L,S4,F,S,42,L,2.503266121,0.917596327
S4_F_S_42_R,S4,F,S,42,R,2.528296937,0.927545929
S4_F_S_43_L,S4,F,S,43,L,2.832433661,1.041136293
S4_F_S_43_R,S4,F,S,43,R,2.857549217,1.04996434
S4_F_S_44_L,S4,F,S,44,L,2.743958502,1.009401587
S4_F_S_44_R,S4,F,S,44,R,2.743915465,1.009385902
S4_F_S_45_L,S4,F,S,45,L,2.554263381,0.937763877
S4_F_S_45_R,S4,F,S,45,R,2.573820348,0.945391312
S4_F_S_46_L,S4,F,S,46,L,2.770540243,1.019042335
S4_F_S_46_R,S4,F,S,46,R,2.773784654,1.020212689
S4_F_S_47_L,S4,F,S,47,L,2.717761715,0.999808643
S4_F_S_47_R,S4,F,S,47,R,2.689615673,0.989398311
S4_F_S_48_L,S4,F,S,48,L,2.73497024,1.006120555
S4_F_S_48_R,S4,F,S,48,R,2.752711076,1.012586272
S4_F_S_49_L,S4,F,S,49,L,2.496986108,0.915084448
S4_F_S_49_R,S4,F,S,49,R,2.4714584,0.904808422
S4_F_S_50_L,S4,F,S,50,L,2.515642944,0.922528414
S4_F_S_50_R,S4,F,S,50,R,2.502284455,0.917204097
S4_F_S_51_L,S4,F,S,51,L,2.489784918,0.912196328
S4_F_S_51_R,S4,F,S,51,R,2.50836972,0.919633028
S4_F_S_52_L,S4,F,S,52,L,2.798268136,1.029000703
S4_F_S_52_R,S4,F,S,52,R,2.823508795,1.037980365
S4_F_S_53_L,S4,F,S,53,L,2.740248213,1.008048505
S4_F_S_53_R,S4,F,S,53,R,2.749161669,1.011296017
S4_F_S_54_L,S4,F,S,54,L,2.13775114,0.759754407
S4_F_S_54_R,S4,F,S,54,R,2.145178661,0.763222841
S4_F_S_55_L,S4,F,S,55,L,2.798615842,1.029124953
S4_F_S_55_R,S4,F,S,55,R,2.793094016,1.027149948
S4_F_S_56_L,S4,F,S,56,L,2.378268941,0.866372887
S4_F_S_56_R,S4,F,S,56,R,2.364347654,0.86050215
S4_M_C_01_L,S4,M,C,1,L,2.230390025,0.802176469
S4_M_C_01_R,S4,M,C,1,R,2.208648267,0.792380684
S4_M_C_02_L,S4,M,C,2,L,2.082349865,0.733496999
S4_M_C_02_R,S4,M,C,2,R,2.085580814,0.735047384
S4_M_C_03_L,S4,M,C,3,L,2.185468904,0.781830407
S4_M_C_03_R,S4,M,C,3,R,2.174856665,0.776962761
S4_M_C_04_L,S4,M,C,4,L,2.368119149,0.862096032
S4_M_C_04_R,S4,M,C,4,R,2.364060196,0.860380563
S4_M_C_05_L,S4,M,C,5,L,2.171397565,0.775370999
S4_M_C_05_R,S4,M,C,5,R,2.169711952,0.774594418
S4_M_C_06_L,S4,M,C,6,L,2.379364024,0.866833235
S4_M_C_06_R,S4,M,C,6,R,2.372662451,0.864012722
S4_M_C_07_R,S4,M,C,7,R,2.265147866,0.81764004
S4_M_C_08_L,S4,M,C,8,L,2.367522103,0.861843882
S4_M_C_08_R,S4,M,C,8,R,2.343939464,0.851833046
S4_M_C_09_L,S4,M,C,9,L,2.196021617,0.786647367
S4_M_C_09_R,S4,M,C,9,R,2.206223856,0.791282392
S4_M_C_10_L,S4,M,C,10,L,1.944716816,0.665116371
S4_M_C_10_R,S4,M,C,10,R,1.945740323,0.665642533
S4_M_C_11_L,S4,M,C,11,L,1.960083975,0.672987317
S4_M_C_11_R,S4,M,C,11,R,1.959669966,0.672776074
S4_M_C_12_L,S4,M,C,12,L,2.422827551,0.884935268
S4_M_C_12_R,S4,M,C,12,R,2.418867894,0.883299618
S4_M_C_13_L,S4,M,C,13,L,2.264586989,0.817392397
S4_M_C_13_R,S4,M,C,13,R,2.297078002,0.831637881
S4_M_C_14_L,S4,M,C,14,L,2.309321015,0.836953548
S4_M_C_14_R,S4,M,C,14,R,2.302786177,0.834119771
S4_M_C_15_L,S4,M,C,15,L,2.09212438,0.73818
S4_M_C_15_R,S4,M,C,15,R,2.102355237,0.743058258
S4_M_C_16_L,S4,M,C,16,L,2.157639756,0.769014919
S4_M_C_16_R,S4,M,C,16,R,2.154356159,0.767491913
S4_M_C_17_L,S4,M,C,17,L,2.282357186,0.825208762
S4_M_C_17_R,S4,M,C,17,R,2.28630454,0.826936776
S4_M_C_18_L,S4,M,C,18,L,2.427484122,0.88685538
S4_M_C_18_R,S4,M,C,18,R,2.417676572,0.882806985
S4_M_C_19_L,S4,M,C,19,L,2.521032277,0.924668451
S4_M_C_19_R,S4,M,C,19,R,2.520274795,0.924367941
S4_M_C_20_L,S4,M,C,20,L,2.303680339,0.834507992
S4_M_C_20_R,S4,M,C,20,R,2.306599368,0.835774305
S4_M_C_21_L,S4,M,C,21,L,2.170397717,0.77491043
S4_M_C_21_R,S4,M,C,21,R,2.182380595,0.780416297
S4_M_C_22_L,S4,M,C,22,L,2.122804212,0.752737956
S4_M_C_22_R,S4,M,C,22,R,2.136700726,0.759262922
S4_M_C_23_L,S4,M,C,23,L,2.317439542,0.840462931
S4_M_C_23_R,S4,M,C,23,R,2.333842635,0.847516109
S4_M_C_24_L,S4,M,C,24,L,2.369944233,0.862866424
S4_M_C_24_R,S4,M,C,24,R,2.383447089,0.868547797
S4_M_C_25_L,S4,M,C,25,L,2.532228685,0.929099818
S4_M_C_25_R,S4,M,C,25,R,2.537033802,0.930995604
S4_M_C_26_L,S4,M,C,26,L,2.411140558,0.880099896
S4_M_C_26_R,S4,M,C,26,R,2.428145639,0.887127855
S4_M_C_27_L,S4,M,C,27,L,2.171422249,0.775382367
S4_M_C_27_R,S4,M,C,27,R,2.180955404,0.779763039
S4_M_C_28_L,S4,M,C,28,L,2.385528688,0.869420772
S4_M_C_28_R,S4,M,C,28,R,2.397548485,0.874446751
S4_M_C_29_L,S4,M,C,29,L,2.307182399,0.836027039
S4_M_C_29_R,S4,M,C,29,R,2.306658482,0.835799933
S4_M_C_30_L,S4,M,C,30,L,2.327637975,0.844854009
S4_M_C_30_R,S4,M,C,30,R,2.326105445,0.844195386
S4_M_C_31_L,S4,M,C,31,L,2.275586328,0.822237746
S4_M_C_31_R,S4,M,C,31,R,2.270404001,0.81995779
S4_M_C_32_L,S4,M,C,32,L,2.290488771,0.828765232
S4_M_C_32_R,S4,M,C,32,R,2.281960195,0.825034808
S4_M_C_33_L,S4,M,C,33,L,2.335292943,0.848137341
S4_M_C_33_R,S4,M,C,33,R,2.306600459,0.835774778
S4_M_C_34_L,S4,M,C,34,L,2.529332696,0.927955511
S4_M_C_34_R,S4,M,C,34,R,2.531966459,0.928996257
S4_M_C_35_L,S4,M,C,35,L,2.293965497,0.830281978
S4_M_C_35_R,S4,M,C,35,R,2.294014005,0.830303124
S4_M_C_36_L,S4,M,C,36,L,2.280040304,0.82419312
S4_M_C_36_R,S4,M,C,36,R,2.29675022,0.831495176
S4_M_C_37_L,S4,M,C,37,L,2.275959705,0.822401812
S4_M_C_37_R,S4,M,C,37,R,2.271979099,0.820651301
S4_M_C_38_L,S4,M,C,38,L,2.273011936,0.821105796
S4_M_C_38_R,S4,M,C,38,R,2.28560141,0.826629189
S4_M_C_39_L,S4,M,C,39,L,2.387302585,0.870164103
S4_M_C_39_R,S4,M,C,39,R,2.384452377,0.868969487
S4_M_C_40_L,S4,M,C,40,L,2.125242788,0.753886049
S4_M_C_40_R,S4,M,C,40,R,2.136511352,0.75917429
S4_M_C_41_L,S4,M,C,41,L,2.338277681,0.849414625
S4_M_C_41_R,S4,M,C,41,R,2.350096013,0.854456184
S4_M_C_42_L,S4,M,C,42,L,2.080219379,0.732473359
S4_M_C_42_R,S4,M,C,42,R,2.063009174,0.724165681
S4_M_C_43_L,S4,M,C,43,L,2.250670066,0.811227979
S4_M_C_43_R,S4,M,C,43,R,2.241354555,0.807080395
S4_M_C_44_L,S4,M,C,44,L,2.259943282,0.815339717
S4_M_C_44_R,S4,M,C,44,R,2.248424905,0.810229929
