Line,Temp,Sex,Code,Ind,CsizeScaled,Pop,Elevation,Lat,Lon
CO9,18C,M,4610,5,4.618045979,CO,2169,6.25,10.43
GA124,18C,F,50710,1,4.333344002,GA,332,-1.65,13.6
GA124,18C,F,50710,2,4.979949108,GA,332,-1.65,13.6
GA124,18C,F,50710,4,4.773907079,GA,332,-1.65,13.6
GA124,18C,F,50710,5,4.528640519,GA,332,-1.65,13.6
GA124,18C,M,4710,1,4.194313943,GA,332,-1.65,13.6
GA124,18C,M,4710,2,4.105536511,GA,332,-1.65,13.6
GA124,18C,M,4710,3,4.370378412,GA,332,-1.65,13.6
GA124,18C,M,4710,4,4.304492049,GA,332,-1.65,13.6
GA124,18C,M,4710,5,4.230597403,GA,332,-1.65,13.6
GA125,18C,F,50610,1,4.67046644,GA,332,-1.65,13.6
GA125,18C,F,50610,2,4.717362505,GA,332,-1.65,13.6
GA125,18C,F,50610,3,4.846183366,GA,332,-1.65,13.6
GA125,18C,F,50610,4,4.750500244,GA,332,-1.65,13.6
GA125,18C,F,50610,5,4.840112024,GA,332,-1.65,13.6
GA125,18C,M,4710,1,4.275301586,GA,332,-1.65,13.6
GA125,18C,M,4710,2,4.221458866,GA,332,-1.65,13.6
GA125,18C,M,4710,3,4.466177554,GA,332,-1.65,13.6
GA125,18C,M,4710,4,4.165442422,GA,332,-1.65,13.6
GA125,18C,M,4710,5,4.147516181,GA,332,-1.65,13.6
GA141,18C,F,50710,1,5.006852778,GA,332,-1.65,13.6
GA141,18C,F,50710,2,4.635008631,GA,332,-1.65,13.6
GA141,18C,F,50710,3,4.824920879,GA,332,-1.65,13.6
GA141,18C,F,50710,4,4.838957071,GA,332,-1.65,13.6
GA141,18C,F,50710,5,4.978707002,GA,332,-1.65,13.6
GA141,18C,M,4710,1,4.331694193,GA,332,-1.65,13.6
GA141,18C,M,4710,3,4.254167677,GA,332,-1.65,13.6
GA141,18C,M,4710,4,4.461923692,GA,332,-1.65,13.6
GA141,18C,M,4710,5,4.282087966,GA,332,-1.65,13.6
GA145,18C,F,50610,1,5.211179067,GA,332,-1.65,13.6
GA145,18C,F,50610,2,4.88610564,GA,332,-1.65,13.6
GA145,18C,F,50610,3,5.22645952,GA,332,-1.65,13.6
GA145,18C,F,50610,4,5.058042898,GA,332,-1.65,13.6
GA145,18C,F,50610,5,5.015821908,GA,332,-1.65,13.6
GA145,18C,M,4710,1,4.534906977,GA,332,-1.65,13.6
GA145,18C,M,4710,2,4.601817445,GA,332,-1.65,13.6
GA145,18C,M,4710,3,4.754839968,GA,332,-1.65,13.6
GA145,18C,M,4710,4,4.53198845,GA,332,-1.65,13.6
GA145,18C,M,4710,5,4.666702113,GA,332,-1.65,13.6
GA145,18C,M,4710,sp,4.434749857,GA,332,-1.65,13.6
GA191,18C,F,50710,1,4.590239947,GA,332,-1.65,13.6
GA191,18C,F,50710,2,4.815721378,GA,332,-1.65,13.6
GA191,18C,F,50710,3,4.760808962,GA,332,-1.65,13.6
GA191,18C,F,50710,4,4.642576298,GA,332,-1.65,13.6
GA191,18C,F,50710,5,4.131116763,GA,332,-1.65,13.6
GA191,18C,M,41710,1,3.969345084,GA,332,-1.65,13.6
GA191,18C,M,41710,2,3.708957258,GA,332,-1.65,13.6
GA191,18C,M,41710,3,3.96958304,GA,332,-1.65,13.6
GA191,18C,M,41710,4,4.185598114,GA,332,-1.65,13.6
GA191,18C,M,41710,5,4.155339773,GA,332,-1.65,13.6
KO2,18C,F,50610,1,5.384574487,KO,2506,-0.25,35.73
KO2,18C,F,50610,2,5.395324345,KO,2506,-0.25,35.73
KO2,18C,F,50610,3,5.474545749,KO,2506,-0.25,35.73
KO2,18C,F,50610,5,5.523726354,KO,2506,-0.25,35.73
KO3,18C,F,50610,1,5.1345241,KO,2506,-0.25,35.73
KO3,18C,F,50610,2,5.16598041,KO,2506,-0.25,35.73
KO3,18C,F,50610,3,4.957213533,KO,2506,-0.25,35.73
KO3,18C,F,50610,4,5.364732701,KO,2506,-0.25,35.73
KO3,18C,F,50610,5,5.283030619,KO,2506,-0.25,35.73
KO4,18C,F,50610,1,4.906152836,KO,2506,-0.25,35.73
KO4,18C,F,50610,2,5.078965748,KO,2506,-0.25,35.73
KO4,18C,F,50610,4,5.481717398,KO,2506,-0.25,35.73
KO4,18C,F,50610,5,5.396432643,KO,2506,-0.25,35.73
KO5,18C,F,50610,1,5.203924702,KO,2506,-0.25,35.73
KO5,18C,F,50610,2,5.250992412,KO,2506,-0.25,35.73
KO5,18C,F,50610,4,5.272475074,KO,2506,-0.25,35.73
KO5,18C,F,50610,5,5.275516219,KO,2506,-0.25,35.73
KO6,18C,F,50610,1,5.103620278,KO,2506,-0.25,35.73
KO6,18C,F,50610,2,4.768755474,KO,2506,-0.25,35.73
KO6,18C,F,50610,3,5.020282796,KO,2506,-0.25,35.73
KO6,18C,F,50610,4,5.058670646,KO,2506,-0.25,35.73
KO6,18C,F,50610,5,5.152522413,KO,2506,-0.25,35.73
KO2,18C,M,4610,1,4.466422554,KO,2506,-0.25,35.73
KO2,18C,M,4610,2,4.843804774,KO,2506,-0.25,35.73
KO2,18C,M,4610,3,4.452893514,KO,2506,-0.25,35.73
KO2,18C,M,4610,4,4.777682543,KO,2506,-0.25,35.73
KO2,18C,M,4610,5,4.797692408,KO,2506,-0.25,35.73
KO3,18C,M,4610,1,4.301551785,KO,2506,-0.25,35.73
KO3,18C,M,4610,2,4.337940983,KO,2506,-0.25,35.73
KO3,18C,M,4610,3,4.523345444,KO,2506,-0.25,35.73
KO3,18C,M,4610,4,4.502988633,KO,2506,-0.25,35.73
KO4,18C,M,4610,1,4.377753129,KO,2506,-0.25,35.73
KO4,18C,M,4610,2,4.246619145,KO,2506,-0.25,35.73
KO4,18C,M,4610,3,4.811337229,KO,2506,-0.25,35.73
KO4,18C,M,4610,4,4.462495555,KO,2506,-0.25,35.73
KO4,18C,M,4610,5,4.282072106,KO,2506,-0.25,35.73
KO5,18C,M,4810,1,4.59112512,KO,2506,-0.25,35.73
KO5,18C,M,4810,2,4.325539904,KO,2506,-0.25,35.73
KO5,18C,M,4810,3,4.783306017,KO,2506,-0.25,35.73
KO5,18C,M,4810,4,4.680997051,KO,2506,-0.25,35.73
KO6,18C,M,4610,1,4.564138063,KO,2506,-0.25,35.73
KO6,18C,M,4610,2,4.434042602,KO,2506,-0.25,35.73
KO6,18C,M,4610,3,4.330114703,KO,2506,-0.25,35.73
KO6,18C,M,4610,4,4.558328849,KO,2506,-0.25,35.73
MW11,18C,F,50810,1,4.513669322,MW,690,-15.62,34.52
MW11,18C,F,50810,2,4.735380775,MW,690,-15.62,34.52
MW11,18C,F,50810,3,4.672461139,MW,690,-15.62,34.52
MW11,18C,F,50810,4,4.498472348,MW,690,-15.62,34.52
MW11,18C,F,50810,5,4.356020178,MW,690,-15.62,34.52
MW28,18C,F,50810,1,5.080288998,MW,690,-15.62,34.52
MW28,18C,F,50810,3,5.054625257,MW,690,-15.62,34.52
MW28,18C,F,50810,4,4.779938741,MW,690,-15.62,34.52
MW28,18C,F,50810,5,4.929799171,MW,690,-15.62,34.52
MW38,18C,F,50810,1,4.600472436,MW,690,-15.62,34.52
MW38,18C,F,50810,2,4.651440965,MW,690,-15.62,34.52
MW38,18C,F,50810,4,4.40033313,MW,690,-15.62,34.52
MW38,18C,F,50810,5,4.589735231,MW,690,-15.62,34.52
MW56,18C,F,50810,1,4.907466764,MW,690,-15.62,34.52
MW56,18C,F,50810,2,5.020686963,MW,690,-15.62,34.52
MW56,18C,F,50810,3,5.185522315,MW,690,-15.62,34.52
MW56,18C,F,50810,4,5.024974842,MW,690,-15.62,34.52
MW56,18C,F,50810,5,5.101261158,MW,690,-15.62,34.52
MW63,18C,F,50810,1,4.626625162,MW,690,-15.62,34.52
MW63,18C,F,50810,2,4.312251831,MW,690,-15.62,34.52
MW63,18C,F,50810,3,4.679140204,MW,690,-15.62,34.52
MW63,18C,F,50810,4,5.313068331,MW,690,-15.62,34.52
MW63,18C,F,50810,5,4.698674932,MW,690,-15.62,34.52
MW63,18C,F,50810,6,5.051590296,MW,690,-15.62,34.52
MW11,18C,M,4810,1,4.055912599,MW,690,-15.62,34.52
MW11,18C,M,4810,2,4.263424358,MW,690,-15.62,34.52
MW11,18C,M,4810,3,3.94445035,MW,690,-15.62,34.52
MW11,18C,M,4810,4,4.451920734,MW,690,-15.62,34.52
MW11,18C,M,4810,5,4.42127519,MW,690,-15.62,34.52
MW28,18C,M,41310,1,4.278772219,MW,690,-15.62,34.52
MW28,18C,M,41310,2,4.180061143,MW,690,-15.62,34.52
MW28,18C,M,41310,4,4.461126765,MW,690,-15.62,34.52
MW28,18C,M,41310,5,4.466942072,MW,690,-15.62,34.52
MW38,18C,M,4810,1,4.42486833,MW,690,-15.62,34.52
MW38,18C,M,4810,2,4.195491001,MW,690,-15.62,34.52
MW38,18C,M,4810,3,4.201001652,MW,690,-15.62,34.52
MW38,18C,M,4810,4,4.039833634,MW,690,-15.62,34.52
MW38,18C,M,4810,5,4.58178412,MW,690,-15.62,34.52
MW56,18C,M,4810,1,4.492858944,MW,690,-15.62,34.52
MW56,18C,M,4810,2,4.554338888,MW,690,-15.62,34.52
MW56,18C,M,4810,3,4.457529297,MW,690,-15.62,34.52
MW56,18C,M,4810,4,4.448434472,MW,690,-15.62,34.52
MW56,18C,M,4810,5,4.30760923,MW,690,-15.62,34.52
MW63,18C,M,4810,2,4.159085225,MW,690,-15.62,34.52
MW63,18C,M,4810,3,4.203313884,MW,690,-15.62,34.52
MW63,18C,M,4810,4,4.22938964,MW,690,-15.62,34.52
MW63,18C,M,4810,5,4.235722508,MW,690,-15.62,34.52
NG1,18C,F,50810,2,4.777699749,NG,295,11.85,13.16
NG1,18C,F,50810,3,4.710174713,NG,295,11.85,13.16
NG1,18C,F,50810,4,4.957099645,NG,295,11.85,13.16
NG1,18C,F,50810,5,4.703806437,NG,295,11.85,13.16
NG2,18C,F,50810,1,4.796589306,NG,295,11.85,13.16
NG2,18C,F,50810,2,4.848116967,NG,295,11.85,13.16
NG2,18C,F,50810,3,4.971977105,NG,295,11.85,13.16
